Dam,Date,CohoAdult,CohoJack
WFA,1/1/2023,0,0
WFA,1/2/2023,0,0
WFA,1/3/2023,0,0
WFA,1/4/2023,0,0
WFA,1/5/2023,0,0
WFA,1/6/2023,0,0
WFA,1/7/2023,0,0
WFA,1/8/2023,0,0
WFA,1/9/2023,0,0
WFA,1/10/2023,0,0
WFA,1/11/2023,0,0
WFA,1/12/2023,0,0
WFA,1/13/2023,0,0
WFA,1/14/2023,0,0
WFA,1/15/2023,0,0
WFA,1/16/2023,0,0
WFA,1/17/2023,0,0
WFA,1/18/2023,0,0
WFA,1/19/2023,0,0
WFA,1/20/2023,0,0
WFA,1/21/2023,0,0
WFA,1/22/2023,0,0
WFA,1/23/2023,0,0
WFA,1/24/2023,0,0
WFA,1/25/2023,0,0
WFA,1/26/2023,0,0
WFA,1/27/2023,0,0
WFA,1/28/2023,0,0
WFA,1/29/2023,0,0
WFA,1/30/2023,0,0
WFA,1/31/2023,0,0
WFA,2/1/2023,0,0
WFA,2/2/2023,0,0
WFA,2/3/2023,0,0
WFA,2/4/2023,0,0
WFA,2/5/2023,0,0
WFA,2/6/2023,0,0
WFA,2/7/2023,0,0
WFA,2/8/2023,0,0
WFA,2/9/2023,0,0
WFA,2/10/2023,0,0
WFA,2/11/2023,0,0
WFA,2/12/2023,0,0
WFA,2/13/2023,0,0
WFA,2/14/2023,0,0
WFA,2/15/2023,0,0
WFA,2/16/2023,0,0
WFA,2/17/2023,0,0
WFA,2/18/2023,0,0
WFA,2/19/2023,0,0
WFA,2/20/2023,0,0
WFA,2/21/2023,0,0
WFA,2/22/2023,0,0
WFA,2/23/2023,0,0
WFA,2/24/2023,0,0
WFA,2/25/2023,0,0
WFA,2/26/2023,0,0
WFA,2/27/2023,0,0
WFA,2/28/2023,0,0
WFA,3/1/2023,0,0
WFA,3/2/2023,0,0
WFA,3/3/2023,0,0
WFA,3/4/2023,0,0
WFA,3/5/2023,0,0
WFA,3/6/2023,0,0
WFA,3/7/2023,0,0
WFA,3/8/2023,0,0
WFA,3/9/2023,0,0
WFA,3/10/2023,0,0
WFA,3/11/2023,0,0
WFA,3/12/2023,0,0
WFA,3/13/2023,0,0
WFA,3/14/2023,0,0
WFA,3/15/2023,0,0
WFA,3/16/2023,0,0
WFA,3/17/2023,0,0
WFA,3/18/2023,0,0
WFA,3/19/2023,0,0
WFA,3/20/2023,0,0
WFA,3/21/2023,0,0
WFA,3/22/2023,0,0
WFA,3/23/2023,0,0
WFA,3/24/2023,0,0
WFA,3/25/2023,0,0
WFA,3/26/2023,0,0
WFA,3/27/2023,0,0
WFA,3/28/2023,0,0
WFA,3/29/2023,0,0
WFA,3/30/2023,0,0
WFA,3/31/2023,0,0
WFA,4/1/2023,0,0
