Dam,Year,CohoAdult,CohoJack
WFA,2000,2839,773
WFA,2001,1736,402
WFA,2002,2337,2417
WFA,2003,7908,1869
WFA,2004,2849,522
WFA,2005,1322,271
WFA,2006,6186,1614
WFA,2007,1050,164
WFA,2008,4048,2971
WFA,2009,25298,2094
WFA,2010,20103,1998
WFA,2011,3393,1969
WFA,2012,6571,6370
WFA,2013,18629,4111
WFA,2014,18070,3379
WFA,2015,2651,923
WFA,2016,2559,1991
WFA,2017,3146,2782
WFA,2018,2557,2806
WFA,2019,7454,1389
WFA,2020,11800,3204
WFA,2021,21108,3157
WFA,2022,11260,6630
WFA,2023,28664,11069
At Willamette Falls Dam for the year 2023, the start date is 01/01/2023 and the end date is 12/31/2023.,,
This file contains adult salmon annual totals dam count data for the requested time period of: 2000 to 2023 for Willamette Falls Dam.,,,
